 Sample   Time     Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000           0.000           0.000;
     1    0.044           0.000           0.000;
     2    0.089           0.000           0.000;
     3    0.133           0.000           0.000;
     4    0.177           0.500           0.000;
     5    0.221           7.781           0.000;
     6    0.266          34.281           0.000;
     7    0.310         105.469           0.000;
     8    0.354         236.031           9.469;
     9    0.398         388.531          46.250;
    10    0.443         501.469         143.750;
    11    0.487         518.531         306.344;
    12    0.531         452.281         464.719;
    13    0.576         329.281         541.813;
    14    0.620         148.156         501.781;
    15    0.664         -85.563         390.656;
    16    0.708        -330.156         191.688;
    17    0.753        -494.875         -90.344;
    18    0.797        -481.688        -386.313;
    19    0.841        -301.406        -588.656;
    20    0.885          -4.344        -591.219;
    21    0.930         326.594        -393.219;
    22    0.974         566.688           5.594;
    23    1.018         615.563         523.969;
    24    1.063         495.625         951.750;
    25    1.107         295.406        1106.000;
    26    1.151          56.344         947.063;
    27    1.195        -178.219         534.781;
    28    1.240        -334.313         -30.313;
    29    1.284        -350.594        -568.531;
    30    1.328        -253.844        -889.219;
    31    1.372         -67.500        -877.844;
    32    1.417         171.094        -590.875;
    33    1.461         371.719         -99.313;
    34    1.505         437.469         473.000;
    35    1.549         367.375         916.000;
    36    1.594         226.156        1055.531;
    37    1.638          35.125         878.656;
    38    1.682        -153.813         467.719;
    39    1.727        -253.500         -61.781;
    40    1.771        -221.188        -529.656;
    41    1.815         -96.656        -760.969;
    42    1.859          92.969        -679.625;
    43    1.904         285.313        -360.094;
    44    1.948         387.438         122.313;
    45    1.992         352.031         607.969;
    46    2.036         238.094         890.313;
    47    2.081          75.438         860.031;
    48    2.125        -109.531         579.594;
    49    2.169        -250.281         134.969;
    50    2.214        -267.875        -329.406;
    51    2.258        -175.313        -646.813;
    52    2.302           2.563        -693.313;
    53    2.346         224.781        -486.313;
    54    2.391         394.125         -84.406;
    55    2.435         425.250         412.750;
    56    2.479         332.406         808.406;
    57    2.523         170.219         926.938;
    58    2.568         -30.781         754.406;
    59    2.612        -217.500         366.125;
    60    2.656        -303.969        -127.813;
    61    2.701        -249.969        -553.750;
    62    2.745        -103.250        -748.969;
    63    2.789         111.500        -647.094;
    64    2.833         322.781        -315.688;
    65    2.878         429.125         174.406;
    66    2.922         391.625         662.281;
    67    2.966         267.281         938.000;
    68    3.010          87.094         897.469;
    69    3.055        -112.500         602.781;
    70    3.099        -263.250         135.281;
    71    3.143        -286.094        -354.156;
    72    3.188        -191.219        -688.125;
    73    3.232         -12.281        -737.281;
    74    3.276         211.625        -518.469;
    75    3.320         386.563         -98.594;
    76    3.365         424.219         415.031;
    77    3.409         338.688         825.094;
    78    3.453         183.875         952.531;
    79    3.497         -13.406         781.656;
    80    3.542        -198.875         392.188;
    81    3.586        -292.250        -108.031;
    82    3.630        -248.125        -543.594;
    83    3.674        -108.188        -749.125;
    84    3.719         100.469        -657.656;
    85    3.763         310.875        -332.781;
    86    3.807         421.969         153.938;
    87    3.852         388.219         642.688;
    88    3.896         267.031         926.688;
    89    3.940          88.656         895.813;
    90    3.984        -110.063         608.250;
    91    4.029        -259.875         146.219;
    92    4.073        -283.750        -344.344;
    93    4.117        -190.063        -683.219;
    94    4.161         -11.781        -738.000;
    95    4.206         208.594        -524.094;
    96    4.250         382.250        -106.313;
    97    4.294         421.875         408.000;
    98    4.339         336.688         819.250;
    99    4.383         185.469         952.000;
   100    4.427          -9.219         783.094;
   101    4.471        -194.656         395.781;
   102    4.516        -289.500        -103.219;
   103    4.560        -249.156        -541.031;
   104    4.604        -112.125        -750.938;
   105    4.648          94.781        -662.438;
   106    4.693         305.156        -340.938;
   107    4.737         420.313         145.375;
   108    4.781         389.438         636.594;
   109    4.826         268.906         925.375;
   110    4.870          92.094         900.031;
   111    4.914        -106.000         615.281;
   112    4.958        -257.594         152.844;
   113    5.003        -283.563        -339.250;
   114    5.047        -191.906        -682.031;
   115    5.091         -16.344        -741.875;
   116    5.135         203.875        -530.906;
   117    5.180         378.781        -115.469;
   118    5.224         421.094         399.688;
   119    5.268         337.156         814.625;
   120    5.313         186.719         952.000;
   121    5.357          -6.594         787.094;
   122    5.401        -192.375         400.656;
   123    5.445        -288.938         -98.969;
   124    5.490        -249.219        -538.063;
   125    5.534        -114.563        -750.844;
   126    5.578          91.063        -664.719;
   127    5.622         302.063        -344.375;
   128    5.667         419.500         140.563;
   129    5.711         390.875         632.813;
   130    5.755         272.250         924.594;
   131    5.799          96.031         902.219;
   132    5.844        -103.344         619.969;
   133    5.888        -256.500         159.906;
   134    5.932        -284.938        -333.156;
   135    5.977        -193.500        -679.000;
   136    6.021         -17.969        -742.500;
   137    6.065         201.469        -534.219;
   138    6.109         378.000        -119.000;
   139    6.154         422.156         396.500;
   140    6.198         339.063         813.469;
   141    6.242         190.656         954.000;
   142    6.286          -2.313         790.750;
   143    6.331        -189.500         405.844;
   144    6.375        -288.500         -92.688;
   145    6.419        -250.688        -533.531;
   146    6.464        -116.938        -750.063;
   147    6.508          88.781        -667.719;
   148    6.552         299.938        -350.406;
   149    6.596         418.563         133.969;
   150    6.641         390.813         627.656;
   151    6.685         272.219         922.531;
   152    6.729          98.313         903.563;
   153    6.773        -100.656         622.469;
   154    6.818        -254.750         162.938;
   155    6.862        -283.938        -329.000;
   156    6.906        -195.906        -677.219;
   157    6.951         -22.500        -743.375;
   158    6.995         197.688        -536.813;
   159    7.039         375.000        -125.625;
   160    7.083         422.844         389.938;
   161    7.128         341.594         809.844;
   162    7.172         192.531         954.000;
   163    7.216           0.125         794.938;
   164    7.260        -187.594         412.313;
   165    7.305        -288.406         -86.500;
   166    7.349        -251.281        -529.250;
   167    7.393        -119.969        -750.438;
   168    7.438          84.813        -670.875;
   169    7.482         297.125        -355.281;
   170    7.526         417.250         127.063;
   171    7.570         392.156         623.531;
   172    7.615         274.906         922.344;
   173    7.659         100.188         906.594;
   174    7.703         -96.969         629.875;
   175    7.747        -252.500         170.938;
   176    7.792        -283.844        -323.406;
   177    7.836        -195.531        -673.563;
   178    7.880         -25.406        -745.531;
   179    7.924         193.844        -541.344;
   180    7.969         372.781        -131.281;
   181    8.013         421.000         382.313;
   182    8.057         342.094         805.375;
   183    8.102         194.500         953.000;
   184    8.146           2.313         797.313;
   185    8.190        -184.063         419.000;
   186    8.234        -286.156         -79.375;
   187    8.279        -250.719        -523.250;
   188    8.323        -119.656        -746.781;
   189    8.367          82.406        -671.625;
   190    8.411         294.625        -358.656;
   191    8.456         416.063         121.125;
   192    8.500         391.781         616.500;
   193    8.544         277.375         919.063;
   194    8.589         103.250         907.313;
   195    8.633         -94.906         634.125;
   196    8.677        -249.594         179.500;
   197    8.721        -283.625        -316.125;
   198    8.766        -196.156        -669.344;
   199    8.810         -25.250        -743.750;
   200    8.854         191.281        -545.219;
   201    8.898         370.844        -137.250;
   202    8.943         420.406         376.406;
   203    8.987         341.188         798.875]
