 Sample   Time     Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000           0.000           0.000;
     1    0.044           0.000           0.000;
     2    0.089           0.000           0.000;
     3    0.133           0.000           0.000;
     4    0.177           1.500           0.000;
     5    0.221           7.219           0.000;
     6    0.266          31.281           0.000;
     7    0.310         113.781           0.000;
     8    0.354         278.344           0.000;
     9    0.398         498.844           0.000;
    10    0.443         702.969           0.000;
    11    0.487         798.375           0.000;
    12    0.531         727.125           0.000;
    13    0.576         489.594           0.000;
    14    0.620          97.406           0.000;
    15    0.664        -386.750           0.000;
    16    0.708        -854.844           0.000;
    17    0.753       -1143.531           0.000;
    18    0.797       -1090.594           0.000;
    19    0.841        -662.031           0.000;
    20    0.885          77.781           0.000;
    21    0.930         928.719           0.000;
    22    0.974        1564.625           0.000;
    23    1.018        1774.750           0.000;
    24    1.063        1426.375           0.000;
    25    1.107         579.906           0.000;
    26    1.151        -557.344           0.000;
    27    1.195       -1605.750           0.000;
    28    1.240       -2172.594           0.000;
    29    1.284       -1993.531           0.000;
    30    1.328       -1085.875           0.000;
    31    1.372         324.000           0.000;
    32    1.417        1750.500           0.000;
    33    1.461        2685.625           0.000;
    34    1.505        2743.375           0.000;
    35    1.549        1861.156           0.000;
    36    1.594         283.313           0.000;
    37    1.638       -1487.313           0.000;
    38    1.682       -2814.625           0.000;
    39    1.727       -3184.875           0.000;
    40    1.771       -2419.813           0.000;
    41    1.815        -737.188           0.000;
    42    1.859        1326.813           0.000;
    43    1.904        3019.063           0.000;
    44    1.948        3717.969           0.000;
    45    1.992        3128.250           0.000;
    46    2.036        1441.406           0.000;
    47    2.081        -806.969           0.000;
    48    2.125       -2825.563           0.000;
    49    2.169       -3897.781           0.000;
    50    2.214       -3588.156           0.000;
    51    2.258       -1990.125           0.000;
    52    2.302         400.781           0.000;
    53    2.346        2723.688           0.000;
    54    2.391        4165.156           0.000;
    55    2.435        4151.281           0.000;
    56    2.479        2692.375           0.000;
    57    2.523         269.094           0.000;
    58    2.568       -2280.656           0.000;
    59    2.612       -4078.969           0.000;
    60    2.656       -4444.250           0.000;
    61    2.701       -3233.031           0.000;
    62    2.745        -834.094           0.000;
    63    2.789        1927.688           0.000;
    64    2.833        4080.656           0.000;
    65    2.878        4822.500           0.000;
    66    2.922        3892.594           0.000;
    67    2.966        1612.281           0.000;
    68    3.010       -1250.281           0.000;
    69    3.055       -3704.281           0.000;
    70    3.099       -4880.781           0.000;
    71    3.143       -4322.094           0.000;
    72    3.188       -2230.219           0.000;
    73    3.232         710.594           0.000;
    74    3.276        3453.406           0.000;
    75    3.320        5025.750           0.000;
    76    3.365        4846.719           0.000;
    77    3.409        2994.906           0.000;
    78    3.453          94.813           0.000;
    79    3.497       -2848.469           0.000;
    80    3.542       -4827.906           0.000;
    81    3.586       -5090.781           0.000;
    82    3.630       -3556.344           0.000;
    83    3.674        -732.563           0.000;
    84    3.719        2393.313           0.000;
    85    3.763        4731.531           0.000;
    86    3.807        5423.313           0.000;
    87    3.852        4240.688           0.000;
    88    3.896        1591.344           0.000;
    89    3.940       -1612.344           0.000;
    90    3.984       -4276.188           0.000;
    91    4.029       -5441.469           0.000;
    92    4.073       -4668.875           0.000;
    93    4.117       -2249.156           0.000;
    94    4.161        1008.031           0.000;
    95    4.206        3950.094           0.000;
    96    4.250        5538.656           0.000;
    97    4.294        5208.000           0.000;
    98    4.339        3080.469           0.000;
    99    4.383        -112.594           0.000;
   100    4.427       -3267.094           0.000;
   101    4.471       -5303.656           0.000;
   102    4.516       -5453.219           0.000;
   103    4.560       -3692.344           0.000;
   104    4.604        -609.156           0.000;
   105    4.648        2722.719           0.000;
   106    4.693        5140.906           0.000;
   107    4.737        5772.250           0.000;
   108    4.781        4414.188           0.000;
   109    4.826        1530.844           0.000;
   110    4.870       -1874.813           0.000;
   111    4.914       -4644.031           0.000;
   112    4.958       -5779.500           0.000;
   113    5.003       -4874.344           0.000;
   114    5.047       -2259.938           0.000;
   115    5.091        1182.219           0.000;
   116    5.135        4245.406           0.000;
   117    5.180        5843.344           0.000;
   118    5.224        5420.813           0.000;
   119    5.268        3129.938           0.000;
   120    5.313        -238.719           0.000;
   121    5.357       -3518.344           0.000;
   122    5.401       -5586.219           0.000;
   123    5.445       -5671.125           0.000;
   124    5.490       -3773.250           0.000;
   125    5.534        -533.625           0.000;
   126    5.578        2919.219           0.000;
   127    5.622        5384.969           0.000;
   128    5.667        5982.375           0.000;
   129    5.711        4519.406           0.000;
   130    5.755        1499.563           0.000;
   131    5.799       -2024.719           0.000;
   132    5.844       -4858.375           0.000;
   133    5.888       -5978.188           0.000;
   134    5.932       -4995.188           0.000;
   135    5.977       -2263.906           0.000;
   136    6.021        1288.750           0.000;
   137    6.065        4419.125           0.000;
   138    6.109        6022.438           0.000;
   139    6.154        5545.500           0.000;
   140    6.198        3158.938           0.000;
   141    6.242        -308.906           0.000;
   142    6.286       -3661.031           0.000;
   143    6.331       -5747.219           0.000;
   144    6.375       -5793.719           0.000;
   145    6.419       -3817.031           0.000;
   146    6.464        -488.438           0.000;
   147    6.508        3034.906           0.000;
   148    6.552        5525.031           0.000;
   149    6.596        6100.625           0.000;
   150    6.641        4577.281           0.000;
   151    6.685        1476.875           0.000;
   152    6.729       -2113.875           0.000;
   153    6.773       -4981.406           0.000;
   154    6.818       -6088.000           0.000;
   155    6.862       -5047.938           0.000;
   156    6.906       -2245.375           0.000;
   157    6.951        1367.313           0.000;
   158    6.995        4528.938           0.000;
   159    7.039        6120.750           0.000;
   160    7.083        5603.000           0.000;
   161    7.128        3157.531           0.000;
   162    7.172        -365.594           0.000;
   163    7.216       -3748.969           0.000;
   164    7.260       -5835.406           0.000;
   165    7.305       -5849.094           0.000;
   166    7.349       -3818.594           0.000;
   167    7.393        -442.000           0.000;
   168    7.438        3110.656           0.000;
   169    7.482        5602.594           0.000;
   170    7.526        6151.781           0.000;
   171    7.570        4588.844           0.000;
   172    7.615        1447.813           0.000;
   173    7.659       -2172.219           0.000;
   174    7.703       -5045.500           0.000;
   175    7.747       -6138.938           0.000;
   176    7.792       -5067.406           0.000;
   177    7.836       -2228.281           0.000;
   178    7.880        1409.375           0.000;
   179    7.924        4580.906           0.000;
   180    7.969        6165.688           0.000;
   181    8.013        5627.000           0.000;
   182    8.057        3156.000           0.000;
   183    8.102        -390.344           0.000;
   184    8.146       -3787.813           0.000;
   185    8.190       -5872.625           0.000;
   186    8.234       -5873.781           0.000;
   187    8.279       -3822.781           0.000;
   188    8.323        -425.188           0.000;
   189    8.367        3138.594           0.000;
   190    8.411        5631.344           0.000;
   191    8.456        6173.406           0.000;
   192    8.500        4596.563           0.000;
   193    8.544        1442.219           0.000;
   194    8.589       -2187.344           0.000;
   195    8.633       -5066.156           0.000;
   196    8.677       -6155.844           0.000;
   197    8.721       -5076.250           0.000;
   198    8.766       -2228.125           0.000;
   199    8.810        1418.531           0.000;
   200    8.854        4592.719           0.000;
   201    8.898        6176.781           0.000;
   202    8.943        5635.875           0.000;
   203    8.987        3160.000           0.000]
